,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemperature,WindSpeed
72,jamestown,100.0,AU,2019-06-30 22:42:43,60.0,-33.21,138.6,9.36,6.06
73,nadym,92.0,RU,2019-06-30 22:45:46,69.0,65.53,72.51,18.06,7.35
74,san patricio,100.0,PY,2019-06-30 22:43:46,96.0,-26.98,-56.83,14.66,4.98
75,iqaluit,20.0,CA,2019-06-30 22:45:46,75.0,63.75,-68.52,7.0,8.2
77,codrington,90.0,AU,2019-06-30 22:45:46,93.0,-28.95,153.24,16.0,2.39
79,rovaniemi,0.0,FI,2019-06-30 22:45:47,70.0,66.5,25.72,9.0,2.1
80,codigoro,0.0,IT,2019-06-30 22:45:47,88.0,44.83,12.11,23.89,2.1
81,lompoc,20.0,US,2019-06-30 22:45:47,68.0,34.64,-120.46,27.0,7.7
82,vaini,99.0,IN,2019-06-30 22:41:59,89.0,15.34,74.49,24.66,1.44
83,nelson bay,0.0,AU,2019-06-30 22:45:47,87.0,-32.72,152.14,9.44,3.1
84,hovd,75.0,NO,2019-06-30 22:43:18,87.0,63.83,10.7,13.33,6.2
85,carnarvon,100.0,ZA,2019-06-30 22:45:48,73.0,-30.97,22.13,6.96,7.78
87,nago,0.0,IT,2019-06-30 22:45:48,61.0,45.88,10.89,27.0,2.1
88,tomatlan,1.0,MX,2019-06-30 22:45:48,65.0,19.93,-105.25,29.16,3.49
89,hofn,61.0,IS,2019-06-30 22:45:49,85.0,64.25,-15.21,-0.94,4.04
90,nha trang,75.0,VN,2019-06-30 22:45:49,70.0,12.24,109.19,29.0,1.5
91,saskylakh,95.0,RU,2019-06-30 22:45:49,78.0,71.97,114.09,5.96,7.12
92,cockburn town,0.0,TC,2019-06-30 22:44:56,81.0,21.46,-71.14,27.66,8.69
93,mahebourg,75.0,MU,2019-06-30 22:45:49,68.0,-20.41,57.7,21.0,5.1
94,saint-philippe,40.0,CA,2019-06-30 22:45:49,60.0,45.36,-73.48,24.0,3.1
95,gondanglegi,45.0,ID,2019-06-30 22:45:50,86.0,-7.75,112.01,20.66,1.87
96,khatanga,31.0,RU,2019-06-30 22:33:43,60.0,71.98,102.47,11.16,4.37
97,thompson,75.0,CA,2019-06-30 22:43:59,56.0,55.74,-97.86,20.0,10.3
98,port blair,100.0,IN,2019-06-30 22:41:17,80.0,11.67,92.75,28.76,10.74
99,itarema,0.0,BR,2019-06-30 22:45:50,81.0,-2.92,-39.92,24.06,3.15
100,mambajao,97.0,PH,2019-06-30 22:45:50,78.0,9.25,124.72,28.26,5.53
101,victoria,75.0,BN,2019-06-30 22:45:51,94.0,5.28,115.24,26.0,4.72
